 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
8,MEI,22/05/2024,KANTOR TU DAN KEPALA SEKOLAH SMPN 7 METRO,MET,KENDALA BUTUH PT2NS/PT3,GTM,DBS,100MBPS,METRO
3,MEI,24/05/2024,LPK FUJIYAMA  ,PRW,a. PS,BTO,DBS,200MBPS,PRINGSEWU
14,MEI,22/05/2024,Toko LBS,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
20,MEI,22/05/2024,TOKO KURNIA ABADI,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
17,MEI,22/05/2024,KIRANA SURF SHOP  ,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
13,MEI,22/05/2024,PT ECCO PROPERTY,PRW,e. CANCEL,BTO,DBS,100MBPS,PRINGSEWU
10,MEI,28/05/2024,SMA NEGERI 3 MENGGALA  ,MGA,a. PS,BTO,DBS,200MBPS,METRO
1,MEI,23/05/2024,ADZMAYRA KOST,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
4,MEI,23/05/2024,MULIA KOMPUTER,MGA,a. PS,BTO,DBS,100MBPS,METRO
3,MEI,23/05/2024,DINASTEL RUANG ES LAMPUNG,MET,a. PS,GTM,DSS,300MBPS,METRO
20,MEI,21/05/2024,LAPAS KELAS IIA KOTABUMI RUMDIN KALAPAS  ,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
3,JULI,01/07/2024,PT LAMPUNG KULINA UTAMA,KDT,a. PS,BTO,DBS,100MBPS,INNER
8,MEI,23/05/2024,S.POLRES METRO,MET,a. PS,GTM,DGS,50MBPS,METRO
5,MEI,23/05/2024,PERPUSTAKAAN SDN 3 PASAR LIWA,LIW,a. PS,GTM,DBS,75MBPS,PRINGSEWU
7,MEI,23/05/2024,KAMBUNA  ,KRU,a. PS,GTM,DBS,75MBPS,PRINGSEWU
10,MEI,23/05/2024,WSL KRUI PRO 2024,KRU,a. PS,GTM,DGS,300MBPS,PRINGSEWU
11,MEI,23/05/2024,PT FIFGROUP CABANG KOTABUMI,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
11,MEI,28/05/2024,TOKO SEMBAKO PRIYANDI,KOT,a. PS,BTO,DBS,300MBPS,PRINGSEWU
12,MEI,28/05/2024,POLRES TANGGAMUS QQ POLSEK PUGUNG  PRINGSEWU LAMPUNG,PRW,a. PS,BTO,DGS,50MBPS,PRINGSEWU
1,MEI,28/05/2024,TOKO BANGUNAN ABDUL,TJK,a. PS,KPU,DBS,100MBPS,INNER
6,MEI,27/05/2024,KANTOR KELURAHAN DAYA MURNI  ,MGA,a. PS,BTO,DBS,50MBPS,METRO
7,MEI,25/05/2024,YULI CELL,WJA,a. PS,BTO,DBS,50MBPS,METRO
1,MEI,25/05/2024,WARUNG SEMBAKO AGUS  ,LKP,a. PS,SIM,DBS,300MBPS,INNER
8,MEI,27/05/2024,ELPIN CCTV DAN KOMPUTER  ,MET,a. PS,GTM,DBS,100MBPS,METRO
9,MEI,27/05/2024,Disnaker Tanggamus,KOT,a. PS,BTO,DBS,75MBPS,PRINGSEWU
10,MEI,27/05/2024,BPN KOTABUMI QQ EDY  ,KBI,a. PS,GTM,DGS,50MBPS,PRINGSEWU
4,MEI,25/05/2024,PERCETAKAN BY,BKM,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,PRINGSEWU
1,MEI,26/05/2024,Muhammad dimas saputra,TJK,a. PS,KPU,DBS,50MBPS,INNER
6,MEI,24/05/2024,PT. Golden Multijaya Plastindo   ,SRW,KENDALA BUTUH PT2NS/PT3,STN,DBS,100MBPS,INNER
13,MEI,27/05/2024,WSL KRUI PRO 2024 AREA PUBLIK 2  ,KRU,a. PS,GTM,DGS,300MBPS,PRINGSEWU
1,JUNI,20/06/2024,DIT POL AIR (Ruang Dir)  ,TJK,a. PS,STN,DBS,50MBPS,INNER
2,JUNI,01/06/2024,PT. KINISO AGENSY INDONESIA,KDT,a. PS,BTO,DBS,300MBPS,INNER
4,MEI,26/05/2024,SD NEGERI 6 KRUI  ,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
12,MEI,27/05/2024,WSL KRUI PRO 2024 AREA PUBLIK,KRU,a. PS,GTM,DGS,300MBPS,PRINGSEWU
11,MEI,27/05/2024,WSL KRUI PRO 2024 LABUHAN JUKUNG,KRU,a. PS,GTM,DGS,300MBPS,PRINGSEWU
13,MEI,28/05/2024,Uniqu mart gudang  ,TGP,a. PS,BTO,DBS,100MBPS,PRINGSEWU
14,MEI,28/05/2024,RUMDIN PT PERTAMINA GEOTHERMAL ENERGY AREA ULUBELU,PRW,a. PS,BTO,DBS,100MBPS,PRINGSEWU
19,MEI,28/05/2024,ARMIN FAMILY  ,BKM,a. PS,BTO,DBS,50MBPS,PRINGSEWU
2,MEI,28/05/2024,PT SANATEL BANDARLAMPUNG,TJK,a. PS,KPU,DPS,50MBPS,INNER
4,MEI,29/05/2024,KOS KOSAN BU ATIK  ,TJK,a. PS,KPU,DBS,50MBPS,INNER
3,MEI,29/05/2024,PT CAHAYA SATYA PERSADA  ,KDT,a. PS,BTO,DBS,100MBPS,INNER
14,MEI,04/05/2024,BENGKEL INJEKSI ,BDA,a. PS,BTO,DBS,50MBPS,METRO
24,MEI,30/05/2024,KRUI WAVE CAFE & RESTO,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
1,MEI,31/05/2024,dirsamapta polda lampung,TJK,a. PS,KPU,DBS,50MBPS,INNER
3,MEI,28/05/2024,HUB HCI LAMPUNG  ,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
4,MEI,28/05/2024,PT. Artacomindo Jejaring Nusa_SOETTA WAYHALIM,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,30MBPS,INNER
22,MEI,30/05/2024,BPN TANGGAMUS QQ AJIE,KBI,a. PS,GTM,DGS,30MBPS,PRINGSEWU
1,JUNI,28/06/2024,PT ADEM AYEM TENTREM SELAWASE,KDT,a. PS,BTO,DBS,100MBPS,INNER
3,MEI,30/05/2024,KOPI KETJE UNILA,KDT,a. PS,BTO,DBS,50MBPS,INNER
15,JUNI,10/06/2024,PT. Matrix Center Group,KBI,e. CANCEL,BTO,DBS,100MBPS,PRINGSEWU
4,JUNI,10/06/2024,YAYASAN EMER CITRA PERSADA (ERADA)  BANDARLAMPUNG,NTR,a. PS,BTO,DBS,50MBPS,INNER
1,JUNI,10/06/2024,YAYASAN EMER CITRA PERSADA (ERADA)  BANDARLAMPUNG,NTR,a. PS,BTO,DBS,50MBPS,INNER
2,JUNI,10/06/2024,YAYASAN EMER CITRA PERSADA (ERADA)  BANDARLAMPUNG,NTR,a. PS,BTO,DBS,50MBPS,INNER
2,MEI,31/05/2024,KOS GRIYA SHAKILA,KDT,a. PS,STN,DBS,75MBPS,INNER
5,MEI,31/05/2024,PT ADITAMA ANUGERAH ABADI,TJK,e. CANCEL,KPU,DBS,30MBPS,INNER
10,MEI,29/05/2024,RUMDIN BENDAHARA PU TUBA  MENGGALA LAMPUNG,MGA,a. PS,BTO,DGS,30MBPS,METRO
21,MEI,29/05/2024,CV PUBIAN SAKTI  ,KOT,a. PS,BTO,DBS,300MBPS,METRO
1,JUNI,01/06/2024,PT Flutra Jaya Abadi qq Yusuf  ,KDT,a. PS,BTO,DBS,100MBPS,INNER
7,JUNI,10/06/2024,MTS DARUL A&#39;MAL METRO,MET,a. PS,BTO,DBS,100MBPS,METRO
3,JUNI,01/06/2024,KPP MADYA BANDAR LAMPUNG,TJK,e. CANCEL,KPU,DBS,300MBPS,INNER
4,JUNI,29/05/2024,Yayasan pendidikan TK ISLAM DARUL FURQON,BDA,KENDALA BUTUH PT2NS/PT3,BTO,DBS,100MBPS,METRO
4,MEI,31/05/2024,PT. MAGNA KARSA MULYA,KDT,SUDAH HR/KENDALA MINTA PENDING,BTO,DBS,50MBPS,INNER
7,MEI,31/05/2024,BADAN NARKOTIKA NASIONAL KOTA METRO,MET,a. PS,GTM,DBS,200MBPS,METRO
15,MEI,29/05/2024,KEDAI BOBOLU,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
,MEI,28/05/2024, PT. DOLWIN TRANS LOGISTIK,TJK,e. CANCEL,KPU,DBS,50MBPS,INNER
16,MEI,29/05/2024,bagian tata pemerintahan setdakab lampung utara  ,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
18,MEI,28/05/2024,Toko Parfum dan Kosmetik  ,TGP,a. PS,BTO,DBS,100MBPS,PRINGSEWU
17,MEI,29/05/2024,SETDAKAB LU QQ ANITA  ,KBI,KENDALA BUTUH PT2NS/PT3,GTM,DGS,50MBPS,PRINGSEWU
8,MEI,30/05/2024,BOB GARAGE - REPAIR & REPAINT,MET,a. PS,GTM,DBS,300MBPS,METRO
11,MEI,31/05/2024,Medical Basecamp,UNT,KENDALA BUTUH PT2NS/PT3,TA,DBS,50MBPS,METRO
12,MEI,31/05/2024,POLRES TANGGAMUS QQ POLSEK SUMBEREJO  TALANG PADANG LAMPUNG,TGP,a. PS,BTO,DGS,50MBPS,PRINGSEWU
16,MEI,30/05/2024,ADIRA FINANCE,BDA,KENDALA BUTUH PT2NS/PT3,BTO,DPS,50MBPS,METRO
7,JULI,24/07/2024,SEKERTARIAT KENCANA KAMPUNG DIGITAL  ,WJA,a. PS,BTO,DBS,50MBPS,METRO
13,MEI,31/05/2024,"POLRES TANGGAMUS QQ POLSEK TALANG PADANG  TALANG PADANG LAMPUNG,",TGP,a. PS,BTO,DGS,50MBPS,PRINGSEWU
14,MEI,31/05/2024,"POLRES TANGGAMUS  KOTABUMI LAMPUNG, KEL KAMPUNG BARU",KOT,e. KENDALA PELANGGAN,BTO,DGS,50MBPS,PRINGSEWU
5,JUNI,01/06/2024,BPN KOTABUMI QQ PAK EDY 2,MET,KENDALA BUTUH PT2NS/PT3,GTM,DGS,50MBPS,METRO
6,JUNI,01/06/2024,UPTD PUSKESMAS IRINGMULYO,MET,a. PS,BTO,DBS,75MBPS,METRO
9,JUNI,01/06/2024,SMA NEGERI 1 SEPUTIH SURABAYA,MET,KENDALA BUTUH PT2NS/PT3,BTO,DBS,200MBPS,METRO
1,JUNI,03/06/2024,Pemancingan Pesona Alam,TKB,a. PS,STN,DBS,200MBPS,INNER
4,JUNI,02/06/2024,SMP NEGERI 3 BUKIT KEMUNING,BKM,a. PS,BTO,DBS,50MBPS,PRINGSEWU
2,JUNI,03/06/2024,PT PNM MEKAAR TELUK BETUNG TIMUR 2,TKB,a. PS,STN,DES,50MBPS,INNER
2,JUNI,04/06/2024,evin aquarium  ,TJK,a. PS,KPU,DBS,50MBPS,INNER
4,JUNI,03/06/2024,PT ADITAMA ANUGERAH ABADI  BANDARLAMPUNG,TJK,a. PS,KPU,DBS,30MBPS,INNER
3,JUNI,04/06/2024,PT. DOLWIN TRANS LOGISTIK,TJK,a. PS,KPU,DBS,50MBPS,INNER
4,JUNI,04/06/2024,Klinik Elektronik,KLA,a. PS,KPU,DBS,100MBPS,INNER
7,JUNI,03/06/2024,SMP N 4 METRO,MET,a. PS,GTM,DBS,100MBPS,METRO
8,JUNI,03/06/2024,SMP NEGERI 4 METRO,MET,a. PS,GTM,DBS,200MBPS,METRO
8,JUNI,04/06/2024,PT. MAGNA KARSA MULYA,KDT,a. PS,BTO,DBS,50MBPS,INNER
10,JUNI,03/06/2024,TOKO FORTUNA,MET,a. PS,GTM,DBS,100MBPS,METRO
11,JUNI,03/06/2024,SMA NEGERI 1 SEPUTIH SURABAYA ,MET,KENDALA BUTUH PT2NS/PT3,BTO,DBS,200MBPS,METRO
12,JUNI,03/06/2024,PT. PRIMA KARYA MEDIKA  KOTABUMI LAMPUNG,KBI,a. PS,GTM,DBS,300MBPS,PRINGSEWU
13,JUNI,03/06/2024,KANTOR PERATIN BALAI KENCANA,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
1,JUNI,05/06/2024,PUSKESMAS BERINGIN RAYA  ,LKP,a. PS,SIM,DBS,75MBPS,INNER
5,JUNI,06/06/2024,RUMDIN EGM AP 2 KC TKG  BANDARLAMPUNG,LKP,a. PS,SIM,DES,50MBPS,INNER
4,JUNI,06/06/2024,Yayasan Pendidikan Islam Ma&#39;arif Lampung ,TJK,a. PS,KPU,DBS,75MBPS,INNER
6,JUNI,06/06/2024,DRACHEN,TJK,a. PS,KPU,DBS,50MBPS,INNER
9,JUNI,04/06/2024,UPTD PUSKESMAS IRINGMULYO,MET,a. PS,GTM,DBS,75MBPS,METRO
10,JUNI,04/06/2024,SMK NEGERI 1 BRAJA SELEBAH ,WJA,a. PS,BTO,DBS,150MBPS,METRO
12,JUNI,04/06/2024,BYNET FAMILY  ,BKM,a. PS,BTO,DBS,50MBPS,PRINGSEWU
13,JUNI,04/06/2024,DINAS PERHUBUNGAN KABUPATEN TANGGAMUS  ,KOT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
3,JUNI,06/06/2024,EDUFUN FKIP UNILA,KDT,a. PS,BTO,DBS,75MBPS,INNER
1,JUNI,07/06/2024,PANWASCAM RAJABASA  ,KDT,a. PS,BTO,DGS,30MBPS,INNER
7,JUNI,06/06/2024,SD MUHAMMADIYAH MULYA ASRI  ,MGA,a. PS,BTO,DBS,50MBPS,METRO
11,JUNI,04/06/2024,DEPOT AIR ISI ULANG IN WATER  ,KRU,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,PRINGSEWU
2,JUNI,08/06/2024,Ruang BPKB Ditlantas Polda Lampung,KDT,a. PS,BTO,DBS,50MBPS,INNER
8,JUNI,06/06/2024,WHRC TA Lampung (Bandar Lampung) WH,MET,a. PS,GTM,DBS,50MBPS,METRO
9,JUNI,06/06/2024,RUMDIN KADIS DINKES PESIBAR,KRU,a. PS,GTM,DGS,30MBPS,PRINGSEWU
10,JUNI,06/06/2024,DEPOT AIR ISI ULANG IN WATER,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
2,JUNI,07/06/2024,FATTANA CELL  ,KDT,a. PS,BTO,DBS,300MBPS,INNER
6,JUNI,08/06/2024,kost kost terbaru,KDT,a. PS,BTO,DBS,50MBPS,INNER
1,JUNI,08/06/2024,BASARNAS QQ NOVIANSYAH,KDT,a. PS,BTO,DGS,30MBPS,INNER
5,JUNI,07/06/2024,Toko Barang Import Serba 35K,PJN,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
6,JUNI,07/06/2024,"MANDALA MULTIFINACE  TULANG BAWANG, KEL DAYA ASRI",MGA,a. PS,BTO,DPS,50MBPS,METRO
7,JUNI,07/06/2024,PUSKESMAS SEKAMPUNG,MET,a. PS,GTM,DBS,150MBPS,METRO
8,JUNI,07/06/2024,PUSKESMAS CANDRA MUKTI  ,MGA,a. PS,BTO,DBS,75MBPS,METRO
9,JUNI,08/06/2024,Scorpions Cafe & Karauke,UNT,a. PS,BTO,DBS,50MBPS,METRO
1,JUNI,15/06/2024,Ditlantas Polda Lampung,LKP,a. PS,SIM,DBS,50MBPS,INNER
8,JUNI,10/06/2024,MA DARUL A&#39;MAL METRO,MET,a. PS,BTO,DBS,100MBPS,METRO
6,JUNI,10/06/2024,Rumah Makan Banyuwangi,BDA,a. PS,GTM,DBS,300MBPS,METRO
1,JUNI,10/06/2024,YAYASAN EMER CITRA PERSADA (ERADA)  BANDARLAMPUNG,NTR,a. PS,BTO,DBS,50MBPS,INNER
4,JUNI,09/06/2024,KANTOR SEKSI PENGELOLAAN TAMAN NASIONAL,KRU,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,PRINGSEWU
7,JUNI,08/06/2024,KLINIK YURA MEDICAL  ,MET,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,METRO
2,JUNI,10/06/2024,YAYASAN EMER CITRA PERSADA (ERADA)  BANDARLAMPUNG,NTR,a. PS,BTO,DBS,50MBPS,INNER
3,JUNI,11/06/2024,SMK NEGERI 3 BANDAR LAMPUNG,TJK,a. PS,STN,DBS,300MBPS,INNER
8,JUNI,08/06/2024,DPRD PESAWARAN,GDT,a. PS,BTO,DBS,75MBPS,PRINGSEWU
4,JUNI,11/06/2024,DHARMA WANITA PERSATUAN SETDA DAERAH PROV LAMPUNG,TJK,a. PS,KPU,DBS,50MBPS,INNER
5,JUNI,11/06/2024,PT APLIKASI DIGITAL INDONESIA,KDT,a. PS,BTO,DBS,200MB,INNER
6,JUNI,11/06/2024,asoka agency,LKP,a. PS,SIM,DBS,150MBPS,INNER
7,JUNI,11/06/2024,PT FEDERAL INTERNASIONAL FINANCE,TJK,a. PS,KPU,DBS,50MBPS,INNER
13,JUNI,11/06/2024,BMT ASSYAFI&#39;IYAH RAMAN UTARA,MET,a. PS,BTO,DBS,50MBPS,METRO
14,JUNI,11/06/2024,HOMESTAY MIOS,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
1,JUNI,12/06/2024,SMPN 2 BANDAR LAMPUNG,LKP,a. PS,SIM,DBS,300MBPS,INNER
2,JUNI,12/06/2024,TOKO SERBA GUNA,KDT,a. PS,BTO,DBS,100MBPS,INNER
3,JUNI,12/06/2024,SMPN 2 BANDAR LAMPUNG,LKP,a. PS,SIM,DBS,200MBPS,INNER
4,JUNI,12/06/2024,PT PERSADA LAMPUNG RAYA (BYPASS ANTASARI)  BANDARLAMPUNG,KDT,a. PS,BTO,DBS,50MBPS,INNER
1,JUNI,12/06/2024,PT PERSADA LAMPUNG RAYA (ZA PAGARALAM)  BANDARLAMPUNG,KDT,a. PS,BTO,DBS,300MBPS,INNER
2,JUNI,13/06/2024,DINASTEL RUANG SS & GS  ,TJK,a. PS,KPU,DPS,TELPON ONLY,INNER
9,JUNI,13/06/2024,PT. SARANA AGUNG MULIA SETIA,TJK,a. PS,STN,DBS,100MBPS,INNER
3,JUNI,13/06/2024,DINASTEL RUANG SS & GS  ,TJK,a. PS,KPU,DPS,TELPON ONLY,INNER
3,JUNI,15/06/2024,PT PERSADA LAMPUNG RAYA (DIPONEGORO)  BANDARLAMPUNG,TJK,a. PS,KPU,DBS,50MBPS,INNER
5,JUNI,13/06/2024,DINASTEL RUANG SS & GS  ,TJK,a. PS,KPU,DPS,TELPON ONLY,INNER
10,JUNI,11/06/2024,shopee express pardasuka  ,PRW,e. CANCEL,BTO,DBS,50MBPS,PRINGSEWU
1,JUNI,21/06/2024,UDUK BUDE FINA,KDT,a. PS,BTO,DBS,50MBPS,INNER
17,JUNI,11/06/2024,ASHA&#39;S PIZZA,KRU,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,PRINGSEWU
18,JUNI,11/06/2024,Kantor Panwas Krui Selatan  ,KRU,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,PRINGSEWU
10,JUNI,13/06/2024,SMP NEGERI 1 SEPUTIH RAMAN  ,MET,a. PS,GTM,DBS,100MBPS,METRO
11,JUNI,10/06/2024,KOPERASI SEHATI MAKMUR ABADI,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
12,JUNI,13/06/2024,KANTOR KELURAHAN CEMPEDAK,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
13,JUNI,13/06/2024,KANTOR PERTANAHAN KABUPATEN PESISIR BARAT,KRU,a. PS,GTM,DBS,200MBPS,PRINGSEWU
9,JUNI,12/06/2024,PT Nusantara Ekspres Kilat,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
15,JUNI,12/06/2024,LEAFY&#39;S EXPRESS  ,KRU,a. PS,GTM,DBS,75MBPS,PRINGSEWU
1,JUNI,18/06/2024,INSTITUT BAKTI NUSANTARA  WAY JEPARA LAMPUNG,WJA,a. PS,BTO,DBS,150MBPS,METRO
2,JUNI,18/06/2024,Polsek Pulau Panggung QQ Polres Tanggamus  ,TGP,a. PS,BTO,DBS,50MBPS,PRINGSEWU
9,JUNI,10/06/2024,"PT. Artacomindo Jejaring Nusa_L781 - WAY HARONG CIMANUK  BANDARLAMPUNG,",GDT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,30MBPS,PRINGSEWU
6,JUNI,13/06/2024,PT.SOLUSINDO BINTANG PRATAMA  ,TJK,e. KENDALA PELANGGAN,KPU,DBS,50MBPS,INNER
1,JUNI,14/06/2024,KANTOR MAKAM KELUARGA PAHOMAN,LKP,a. PS,SIM,DBS,50MBPS,INNER
2,JUNI,15/06/2024,SEKOLAH ASSAFINA,TJK,a. PS,KPU,DBS,50MBPS,INNER
6,JUNI,15/06/2024,RUMDIN KABID DINAS PENDIDIKAN,TJK,a. PS,KPU,DBS,150MBPS,INNER
5,JUNI,15/06/2024,KEPALA SEKOLAH SMP 9,TJK,a. PS,KPU,DBS,150MBPS,INNER
10,JUNI,15/06/2024,PT PERSADA LAMPUNG RAYA (HAJIMENA)  BANDARLAMPUNG,KDT,a. PS,BTO,DBS,300MBPS,INNER
4,JUNI,15/06/2024,KEPALA SEKOLAH SMP 12,TJK,e. KENDALA PELANGGAN,KPU,DBS,150MBPS,INNER
11,JUNI,14/06/2024,lusiana cell,UNT,a. PS,BTO,DBS,50MBPS,METRO
3,JUNI,18/06/2024,Kopvet,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
1,JUNI,19/06/2024,DIT POL AIR - PENJAGAAN DEPAN,TJK,a. PS,STN,DBS,50MBPS,INNER
8,JUNI,19/06/2024,SDN 3 PASAR MADANG  ,KOT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
10,JUNI,14/06/2024,DPMPTSP BIDANG KEUANGAN,KBI,a. PS,GTM,DBS,100MBPS,PRINGSEWU
8,JUNI,15/06/2024,STEBI TANGGAMUS,KOT,a. PS,BTO,DBS,150MBPS,PRINGSEWU
1,JUNI,24/06/2024,MEES SPBU 148 ITERA  Jatimulyo,KDT,a. PS,BTO,DBS,50MBPS,INNER
2,JUNI,20/06/2024,PT JIVA AGRICULTURE INDONESIA  SRIBAWONO LAMPUNG,SRW,a. PS,BTO,DBS,50MBPS,INNER
9,JUNI,19/06/2024,DPMTPSP BIDANG SEKRETARIAT,KBI,a. PS,GTM,DBS,100MBPS,PRINGSEWU
1,JULI,25/07/2024,KOST PUTRI AMOR  BANDARLAMPUNG,KDT,a. PS,BTO,DBS,50MBPS,INNER
4,JUNI,16/06/2024,APOTEK VIRYA MEDIKA  ,MGA,a. PS,BTO,DBS,50MBPS,METRO
5,JUNI,16/06/2024,wandabutik  ,GDT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,PRINGSEWU
10,JUNI,19/06/2024,DPMPTSP BIDANG PENANAMAN MODAL  KOTABUMI LAMPUNG,KBI,a. PS,GTM,DBS,100MBPS,PRINGSEWU
4,JUNI,15/06/2024,BALAI DESA GAYA BARU II,MET,e. KENDALA PELANGGAN,BTO,DBS,300MBPS,METRO
3,JUNI,20/06/2024,Ruang Cyber Polda Lampung QQ Jemi  ,KDT,a. PS,BTO,DBS,50MBPS,INNER
2,JUNI,19/06/2024,SD 1 SUKARAME 2   ,TKB,f. BUTUH PT2 SIMPLE,STN,DBS,75MBPS,INNER
1,JUNI,25/06/2024,KUCAY INDONESIA  BANDARLAMPUNG,TJK,e. KENDALA PELANGGAN,KPU,DBS,50MBPS,INNER
6,JUNI,20/06/2024,TOKO SRC DEVIS CELL,MGA,a. PS,BTO,DBS,50MBPS,METRO
7,JUNI,20/06/2024,PUSKESMAS BRAJA CAKA  WAY JEPARA LAMPUNG,WJA,a. PS,BTO,DBS,50MBPS,METRO
8,JUNI,20/06/2024,AM ASSOYY MOTOR  LABUAN MARINGGAI LAMPUNG,LAM,a. PS,BTO,DBS,50MBPS,METRO
9,JUNI,20/06/2024,PUSKESMAS SEPUTIH RAMAN,MET,a. PS,GTM,DBS,75MBPS,METRO
10,JUNI,20/06/2024,SMP PGRI SEPUTIH RAMAN  METRO LAMPUNG,MET,a. PS,GTM,DBS,75MBPS,METRO
12,JUNI,20/06/2024,PUSKESMAS GUNUNG SUGIH,BDA,a. PS,BTO,DBS,100MBPS,METRO
11,JUNI,19/06/2024,PUSKESMAS TEJO AGUNG,MET,a. PS,GTM,DBS,100MBPS,METRO
5,JUNI,24/06/2024,KOLAM RENANG BANG ARI  MENGGALA LAMPUNG,MGA,a. PS,BTO,DBS,50MBPS,METRO
6,JUNI,24/06/2024,jualan online,MET,a. PS,GTM,DBS,200MBPS,METRO
1,JUNI,25/06/2024,PT.LESTARI JAYA INDONESIA MAJU  ,KDT,a. PS,BTO,DBS,100MBPS,INNER
12,JUNI,24/06/2024,POS POLISI KOTA POLRES LAMPUNG UTARA,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
7,JUNI,21/06/2024,POLSEK KOTA AGUNG,KOT,a. PS,BTO,DBS,150MBPS,PRINGSEWU
4,JULI,01/07/2024,APOTEK K-24 KARTINI / PT. ANUGERAH BARAT GEMILANG,TJK,a. PS,KPU,DBS,50MBPS,INNER
14,JUNI,20/06/2024,DPMTPSP BIDANG PENGADUAN,KBI,a. PS,GTM,DBS,100MBPS,PRINGSEWU
6,JUNI,21/06/2024,DPMTPSP BIDANG PENGADUAN  KOTABUMI LAMPUNG,KBI,e. CANCEL,GTM,DBS,100MBPS,PRINGSEWU
9,JUNI,21/06/2024,TOP CENTRAL PLASTIK,PRW,KENDALA BUTUH PT2NS/PT3,BTO,DBS,100MBPS,PRINGSEWU
2,JUNI,26/06/2024,DAYN WATERBOOM  KALIANDA LAMPUNG,KLA,a. PS,KPU,DBS,50MBPS,INNER
5,JUNI,20/06/2024,PT TRIA SOLUSINDO  BANDARLAMPUNG,TJK,KENDALA BUTUH PT2NS/PT3,KPU,DBS,100MBPS,INNER
5,JULI,01/07/2024,BLACKZONE.COM,NTR,a. PS,BTO,DBS,200MBPS,INNER
1,JUNI,28/06/2024,Toko Guntoro Arbi,TJK,a. PS,KPU,DBS,50MBPS,INNER
2,JUNI,23/06/2024,CENTRAL RIKI CELL,BKM,a. PS,BTO,DBS,50MBPS,PRINGSEWU
2,JUNI,25/06/2024,Robusta Coffe Bunga  ,KDT,a. PS,BTO,DBS,100MBPS,INNER
7,JUNI,24/06/2024,SMP TMI ROUDLATUL QUR&#39;AN METRO ,MET,e. CANCEL,GTM,DBS,50MBPS,METRO
3,JUNI,20/06/2024,PT TRIA SOLUSINDO  BANDARLAMPUNG,TJK,a. PS,KPU,DBS,100MBPS,INNER
4,JUNI,25/06/2024,SMP TMI ROUDLATUL QUR&#39;AN,MET,a. PS,BTO,DBS,150MBPS,METRO
5,JUNI,25/06/2024,DEWI CELL,MGA,a. PS,BTO,DBS,50MBPS,METRO
6,JUNI,25/06/2024,ZEA CELLULAR  LABUAN MARINGGAI LAMPUNG,LAM,a. PS,BTO,DBS,100MBPS,METRO
7,JUNI,25/06/2024,ROBUSTA WAWAI GROUP  METRO LAMPUNG,MET,a. PS,BTO,DBS,50MBPS,METRO
8,JUNI,25/06/2024,MANDALA MULTIFINACE  UNIT DUA MENGGALA LAMPUNG,UNT,a. PS,BTO,DES,50MBPS,METRO
9,JUNI,25/06/2024,UPTD PUSKESMAS RAJABASA LAMA  ,WJA,a. PS,BTO,DBS,200MBPS,METRO
8,JUNI,26/06/2024,UPTD PUSKESMAS BRAJA HARJOSARI  WAY JEPARA LAMPUNG,WJA,a. PS,BTO,DBS,75MBPS,METRO
9,JUNI,26/06/2024,PT ANDIARTA MUZIZAT CAB TKG-TWG,UNT,a. PS,GTM,DBS,50MBPS,METRO
10,JUNI,26/06/2024,WARUNG TUTUT ,MET,a. PS,BTO,DBS,50MBPS,METRO
2,JUNI,28/06/2024,Diky Sembako  ,KLA,a. PS,KPU,DBS,150MBPS,INNER
